poi_desc_id,poi_info_id,hours1,hours2,phone,description,web_link,map_link,map_link_spanish,vol_link,vol_link2,picnic_link,event_link,custom_link,season1,season2,special_hours,special_description,special_link,photo_link,fish_map,accessibility_description
49,184,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-North-111522.pdf,,,Year-round,,,,,,,
50,31,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-South-111522.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Busse-Reservoir-032417.pdf,"Busse Forest-South has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible indoor bathroom."
51,190,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-North-111522.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Busse-Reservoir-032417.pdf,"Busse Forest-West has an accessible fishing area with accessible parking, a paved surface pathway to the shoreline, a hard surface along the shoreline, and railings along portions, or all, of the hard-surfaced shoreline."
52,370,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/crawdad-slough/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
53,187,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-South-111522.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Busse-Reservoir-032417.pdf,"Busse Lake Beisner Road Access has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible indoor bathroom. It also has an accessible fishing area with accessible parking, a paved surface pathway to the shoreline, a hard surface along the shoreline, and railings along portions, or all, of the hard-surfaced shoreline. "
54,189,Sunrise to Sunset,Call 224-415-6554 for current hours,224-415-6554,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-South-111522.pdf,,,Year-round,Boat Rental,Rentals generally available early April to late October. Call ahead to confirm.,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Busse-Reservoir-032417.pdf,"Busse Lake Boating Center has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible indoor bathroom. It also has an accessible canoe landing with accessible parking and a paved path to the landing. The surface of the landing is stable, firm and slip resistant."
55,283,Sunrise to Sunset,,,"Caldwell Woods, located on the northwest side of Chicago, features picnic groves, activity areas, a warming shelter, sledding hill and access to the popular North Branch Trail. Although small in size, this preserve is big on diversity, with habitats ranging from flatwoods and floodplain forests to open savanna and oak woodlands.",https://fpdcc.com/places/locations/caldwell-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-North-Zone-Map-10-15.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-North-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={01B94678-AC07-4EA1-998A-69E6AC3C1797},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={7FE9A1CF-FC7C-40A3-B232-2D6CDBE7E6E5},https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Caldwell-Woods-120821.pdf,,,Year-round,,,,,,,
56,239,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/callahan-grove/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,,,,,,Year-round,,,,,,,
57,154,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/calumet-city-playfield/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
58,16,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/calumet-city-prairie-marsh-nature-preserve/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
59,144,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/calumet-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Major-Taylor-Trail-Map-120920.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Calumet-Woods-110421.pdf,,,Year-round,,,,,,,
60,275,Sunrise to Sunset,,,"The Calvin R. Sutker Grove entrance is part of Harms Woods. From walking and cycling to viewing beautifully restored habitats, Harms Woods has it all. This popular forest preserve is bisected by the North Branch of the Chicago River. To the east of the river, visitors can take advantage of the North Branch Trail; to the west of the river, visitors can walk along unpaved trails and enjoy spring wildflowers, butterflies and birds thriving thanks to years of dedicated restoration efforts.",https://fpdcc.com/places/locations/harms-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-North-Branch-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-North-Branch-Trail-Map-SPANISH-9-16.pdf,,,,,,Year-round,,,,,,,
61,178,,,,"The Camp Alphonse entrance is part of Deer Grove. Deer Grove, the county’s first forest preserve, features nearly 2,000 acres of diverse habitat such as rolling upland forest, wooded ravines, wetlands and prairie. Following years of dedicated restoration work, two areas within Deer Grove are recognized by the Illinois Nature Preserves Commission as some of the highest quality natural areas in the state.",https://fpdcc.com/places/locations/deer-grove/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Deer-Grove-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Deer-Grove-Trail-Map-SPANISH-10-15.pdf,,,,,,,,,,,,,
62,100,24 hours a day,,855-YES-CAMP,"Camp Bullfrog Lake offers year-round camping, group activities and water-based recreation such as kayak rentals and fishing. Camp steps from the water in the heart of the vast, hilly Palos Preserves and fill your days with hiking, mountain biking and birdwatching adventures.",https://fpdcc.com/places/locations/camp-bullfrog-lake/,http://fpdcc.com/downloads/maps/camping/FPCC-camping-camp-bullfrog-lake-web-102219.pdf,,,,,,,Year-round,,"Closed Thanksgiving, Christmas, New Year's Day",,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Bullfrog-Lake-032417.pdf,"Camp Bullfrog Lake has two accessible tent campsites and two accessible RV/tent campsites with accessible parking, path of travel to and around the campsite, raised fire pit and accessible picnic table. It also has two accessible large cabins with accessible parking, path of travel to cabin, roll-in shower with bench, accessible sink, raised fire pit and accessible picnic table. Two accessible small cabins feature accessible parking, path of travel to cabin, raised fire pit and accessible picnic table. Bathroom/shower building includes a roll-in shower with a bench as well as an accessible changing area with a bench. Registered campers and their guests can also use the kayak rental with accessible launch and accessible fishing area with a paved surface pathway to the shoreline, a hard surface along the shoreline, and railings along portions, or all, of the hard-surfaced shoreline. Accessible campsites are designed for campers with disabilities. Please only book an accessible campsite if you need it or all other campsites are booked."
63,192,24 hours a day,,855-YES-CAMP,Camp Dan Beard features renovated rustic cabins perfect for group or family campers. The site also includes open fields for group tent camping. The camp’s shelters and picnic sites are great for events.,https://fpdcc.com/places/locations/camp-dan-beard/,https://fpdcc.com/downloads/maps/camping/FPCC-camping-camp-dan-beard-web-042015.pdf,,,,,,,Year-round,,"Closed Thanksgiving, Christmas, New Year's Day",,,,,"Camp Dan Beard has one accessible large cabin with accessible parking, path of travel to cabin, roll-in shower with bench, accessible sink, raised fire pit and accessible picnic table. Bathroom/shower building includes a roll-in shower with a bench as well as an accessible changing area with a bench."
64,207,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/camp-ground-road-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Camp-Ground-Road-Woods-110421.pdf,,,Year-round,,,,,,,"Camp Ground Road Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
65,58,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/camp-kiwanis-equestrian-staging-area/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
66,342,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/camp-pine-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Camp-Pine-Woods-110421.pdf,,,Year-round,,,,,,,
67,179,24 hours a day,,855-YES-CAMP,"Camp Reinberg’s tent sites and heated year-round cabins—plus dining hall and outdoor gathering areas—make it perfect for a group event or private getaway. Set in the oak woods of historic Deer Grove, Camp Reinberg provides access to miles of trails, beautifully restored landscapes and nearly unlimited recreation opportunities.",https://fpdcc.com/places/locations/camp-reinberg/,http://fpdcc.com/downloads/maps/camping/FPCC-camping-camp-reinberg-web-102219.pdf,,,,,,,Year-round,,"Closed Thanksgiving, Christmas, New Year's Day",,,,,"Camp Reinberg has two accessible tent campsites and two accessible RV/tent campsites with accessible parking, path of travel to and around the campsite, raised fire pit and accessible picnic table. It also has two accessible large cabins with accessible parking, path of travel to cabin, roll-in shower with bench, accessible sink, raised fire pit and accessible picnic table. Two accessible small cabins feature accessible parking, path of travel to cabin, raised fire pit and accessible picnic table. Bathroom/shower building includes a roll-in shower with a bench as well as an accessible changing area with a bench. Please only book an accessible campsite if you need it or all other campsites are booked."
68,113,24 hours a day,Closed,855-YES-CAMP,"Camp Shabbona Woods features small three-season cabins, mulch tent pads and a clearing for activities. Sand Ridge Nature Center is just a short stroll away through an oak woodland.",https://fpdcc.com/places/locations/camp-shabbona-woods/,https://fpdcc.com/downloads/maps/camping/FPCC-camping-camp-shabbona-woods-web-042015.pdf,,,,,,,Apr - Oct,Nov - Mar,,,,,,"Camp Shabbona Woods has two accessible tent campsites with accessible parking, path of travel to and around the campsite, raised fire pit and accessible picnic table. It also has two accessible small cabins with accessible parking, path of travel to cabin, raised fire pit and accessible picnic table. Bathroom/shower building includes a roll-in shower with a bench as well as an accessible changing area with a bench. Accessible campsites are designed for campers with disabilities. Please only book an accessible campsite if you need it or all other campsites are booked."
69,136,24 hours a day,,855-YES-CAMP,"An iconic red barn greets visitors to Camp Sullivan, where large groups can rent bunkhouses and those looking for privacy can enjoy tent campsites tucked in the woods. With access to the Tinley Creek Trail System, Camp Sullivan is a perfect destination for nature exploration. Even the barn, with a climbing wall and other adventures, is a hub of activity.",https://fpdcc.com/places/locations/camp-sullivan/,https://fpdcc.com/downloads/maps/camping/FPCC-camping-camp-sullivan-web-021920.pdf,,,,,,,Year-round,,"Closed Thanksgiving, Christmas, New Year's Day",,,,,"Camp Sullivan has two accessible tent campsites and two accessible RV/tent campsites with accessible parking, path of travel to and around the campsite, raised fire pit and accessible picnic table. It also has three accessible bunkhouses with accessible parking, path of travel to bunkhouse, roll-in shower with bench (large bunkhouses only), accessible sink, raised fire pit and accessible picnic table. Two accessible small cabins feature accessible parking, path of travel to cabin, raised fire pit and accessible picnic table. Bathroom/shower building includes a roll-in shower with a bench as well as an accessible changing area with bench. Accessible campsites are designed for campers with disabilities. Please only book an accessible campsite if you need it or all other campsites are booked."
70,2,Sunrise to Sunset,,,"Visitors to Cap Sauers Holding will quickly notice the sounds of cars and trucks melting away as they traverse the glacier-formed landscape—the center of this preserve is the most remote place in all of Cook County. Miles of trails wind through the beautiful wooded bluffs and ravines, wetlands and prairie openings that make Cap Sauers a true escape into nature.",https://fpdcc.com/places/locations/cap-sauers-holding-nature-preserve/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Sag-Valley-Trail-System-Map-080521.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Sag-Valley-Trail-System-Map-SPANISH-080521.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={3476BBA0-4C4F-4079-9A4A-FAB5374BD940},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={240F85A0-BFA8-4D71-8E2F-72B971BBC49E},,,,Year-round,,,,,,,
71,194,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/arthur-l-janura-preserve/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Poplar-Creek-Trail-2018-010919.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Northwest-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={381C0592-CCF8-403F-8D95-139B01B35002},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={E2B9397C-2231-4F4A-90EE-E777A9DE494A},https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Carl-Hansen-Woods-110421.pdf,,,Year-round,,,,,,,
72,134,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/carlson-springs-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Carlson-Springs-Woods-110421.pdf,,,Year-round,,,,,,,
73,137,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/catalina-grove-family-picnic-area/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
74,214,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/catherine-chevalier-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Catherine-Chevalier-Woods-110421.pdf,,,Year-round,,,,,,,
75,44,June 12-Aug 13: Mon-Fri: 12pm to 7pm,Aug 14-Sept 5: Saturday-Sunday:12pm to 7pm; Monday-Friday:4pm to 7pm; Labor Day:12pm to 7pm,708-447-0715,"Located in Lyons, Cermak Family Aquatic Center offers zero-depth entry, a lazy river, small children’s slides, play features, a water playground, lounge areas, and a concession stand.",https://fpdcc.com/places/locations/cermak-family-aquatic-center/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Cermak-Woods-111522.pdf,,,,,Hours vary throughout the season and aquatic centers may close temporarily due to weather—always call (708-447-0715) ahead or check the Facebook page for the latest information.,,,,,
76,254,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/cermak-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Central-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Central-Zone-Map-SPANISH-01-18.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Cermak-Woods-111522.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Cermak-Quarry-032417.pdf,"Cermak Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
77,223,Sunrise to Sunset,,,"The Che Che Pin Qua Woods entrance is part of Schiller Woods. Located along the Des Plaines River Trail, Schiller Woods is home to a diverse array of natural habitats including wooded areas, remnant prairie, sedge meadow and wetland. With wide-open spaces and a pond, visitors can enjoy easy access to outdoor activities such as picnicking, fishing, kite flying and more.",https://fpdcc.com/schiller-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={3C223A0A-5A5E-4F1B-B756-7537F0DB80CB},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Che-Che-Pin-Qua-Woods-110421.pdf,,,Year-round,,,,,,,
78,111,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/cherry-hill-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Sag-Valley-Trail-System-Map-080521.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Sag-Valley-Trail-System-Map-SPANISH-080521.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Cherry-Hill-Woods-110421.pdf,,,Year-round,,,,,,,
79,260,Sunrise to Sunset,,,"The Chicago Portage National Historic Site—one of only two National Historic Sites in Illinois—marks the western end of the historic portage linking the Great Lakes to the Mississippi River. The site includes a section of the Salt Creek Trail System, including an unpaved loop.",https://fpdcc.com/places/locations/chicago-portage-national-historic-site/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={7BD1EF68-C183-4F29-8AAB-EDC3D2A6DF0D},,,,,Year-round,,,,,,,
80,276,,,800-460-0010,"Chick Evans is a short 5,691 yards, yet satisfying, 18-hole course. The Chicago River cuts right through the center of the course offering beautiful scenery and a formidable obstacle for golfers who play here.",http://chickevans.forestpreservegolf.com/,,,,,,,,,,,,,,,
81,46,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/chipilly-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-North-Branch-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-North-Branch-Trail-Map-SPANISH-9-16.pdf,,,,,,Year-round,,,,,,,
82,210,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/axehead-lake/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Chippewa-Woods-110421.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Axehead-Lake-032417.pdf,
83,152,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/green-lake-woods/,https://fpdcc.com/downloads/maps/nature-centers/english/FPCC-Sand-Ridge-Campus-Map-082521.pdf,https://fpdcc.com/downloads/maps/nature-centers/spanish/FPCC-Sand-Ridge-Campus-Map-SPANISH-082521.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Clayhole-Woods-120821.pdf,,,Year-round,,,,,,,
84,376,Sunrise to Sunset,,,A carry-in launch ramp provides access to the Des Plaines River.,https://fpdcc.com/places/locations/columbia-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Columbia-Woods-120821.pdf,,,Year-round,,,,,,,
85,129,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/coopers-hawk-family-picnic-area/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
86,299,Sunrise to Sunset,,,"The Country Lane Woods entrance is part of Cranberry Slough. Cranberry Slough Nature Preserve includes one of only a handful of peat bog ecosystems in Illinois, cradled by rolling upland woods. This relic of the glacial era supports habitats uncommon this far south. There are 35 miles of unpaved trails in the area to see the native plants and wildlife.",https://fpdcc.com/places/locations/cranberry-slough/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={20BE4B8F-F438-40F4-9165-946695AFB163},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Country-Lane-Woods-110421.pdf,,,Year-round,,,,,,,
87,348,"9am - 5pm, closed Fridays","9am - 4pm, closed Fridays",847-381-6592,"Discover the natural history and local wildlife displays in the Crabtree Nature Center exhibit building or explore Crabtree’s rolling, glacier-formed landscape on three self-guided trails.",https://fpdcc.com/places/locations/crabtree-nature-center/,https://fpdcc.com/downloads/maps/nature-centers/english/FPCC-Crabtree-Nature-Center-Map-4-17.pdf,https://fpdcc.com/downloads/maps/nature-centers/spanish/FPCC-Crabtree-Nature-Center-Map-SPANISH-4-17.pdf,,,,,,Mar - Oct,Nov - Feb,"Closed Thanksgiving, Christmas, New Year's Day",,,,,
88,10,,,,,,,,,,,,,,,,,,,,
89,3,Sunrise to Sunset,,,"Cranberry Slough Nature Preserve includes one of only a handful of peat bog ecosystems in Illinois, cradled by rolling upland woods. This relic of the glacial era supports habitats uncommon this far south. There are 35 miles of unpaved trails in the area to see the native plants and wildlife. ",https://fpdcc.com/places/locations/cranberry-slough/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={20BE4B8F-F438-40F4-9165-946695AFB163},,,,,Year-round,,,,,,,
90,302,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/crooked-creek-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Crooked-Creek-Woods-110421.pdf,,,Year-round,,,,,,,
91,374,Sunrise to Sunset,,,The Forest Preserves of Cook County's General Headquarters is located in Cummings Square.,https://fpdcc.com/places/locations/general-headquarters-permit-office/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Central-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Central-Zone-Map-SPANISH-01-18.pdf,,,,,,Year-round,,,,,,,
92,317,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/dam-no-1-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Dam-1-Woods-East-110421.pdf,,,Year-round,,,,,,,
93,335,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/dam-no-1-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
